,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,day,month,Total_power_use
37,0.502,0.268,243.46,2.2,0,0,0,7,12,0
38,2.88,0.102,244.6,11.8,40,0,0,18,3,40
39,2.308,0.0,242.06,9.4,0,0,0,26,12,0
40,0.244,0.0,244.08,1.0,0,0,0,20,1,0
41,0.812,0.0,241.33,3.4,0,0,0,12,12,0
42,1.94,0.0,244.9,8.0,0,0,19,28,4,19
43,0.146,0.0,240.8,0.6,0,0,1,20,7,1
44,0.258,0.178,241.87,1.2,0,1,1,10,8,2
45,1.18,0.0,238.65,4.8,0,0,18,12,7,18
46,1.398,0.098,246.03,5.6,0,0,0,29,12,0
47,1.834,0.148,243.69,7.6,0,0,19,20,6,19
48,0.402,0.102,244.4,1.8,0,0,0,27,3,0
49,1.382,0.25,241.88,5.8,0,1,19,23,7,20
50,1.336,0.0,245.01,5.4,0,0,18,24,2,18
51,0.682,0.102,243.33,2.8,0,0,1,12,11,1
52,0.94,0.142,239.25,4.0,0,7,0,1,3,7
53,0.292,0.104,241.08,1.2,0,0,0,19,9,0
54,1.99,0.312,247.31,8.2,0,7,20,16,12,27
55,0.246,0.068,243.79,1.0,0,1,0,12,9,1
56,0.256,0.048,241.24,1.2,0,0,0,3,11,0
57,2.82,0.168,238.64,11.8,0,1,17,28,3,18
58,1.73,0.0,235.74,7.2,0,0,17,16,10,17
59,0.246,0.114,241.53,1.0,0,0,1,3,9,1
60,3.062,0.142,241.97,12.6,0,2,18,16,12,20
61,2.854,0.112,241.29,11.8,38,1,0,14,2,39
62,1.424,0.202,237.96,6.0,0,2,17,29,10,19
63,3.112,0.268,233.25,13.4,0,2,17,18,11,19
64,0.302,0.0,246.71,1.2,0,0,0,28,11,0
65,1.41,0.086,239.24,5.8,2,0,19,16,6,21
66,1.058,0.0,235.28,4.4,1,0,0,7,6,1
67,0.26,0.28,242.87,1.4,0,1,0,9,8,1
68,1.218,0.184,235.9,5.2,0,0,0,21,1,0
69,0.25,0.098,240.6,1.0,0,0,0,15,7,0
70,4.782,0.06,236.78,20.2,0,0,18,16,2,18
71,0.818,0.092,240.87,3.4,0,0,0,17,2,0
72,2.548,0.05,237.51,10.6,0,0,0,11,3,0
73,0.286,0.168,242.64,1.4,0,0,1,20,7,1
74,0.564,0.0,237.45,2.4,0,0,0,29,11,0
75,0.28,0.05,237.82,1.2,0,0,0,22,5,0
76,0.252,0.148,241.17,1.2,0,0,1,27,8,1
77,0.24,0.0,243.23,1.0,0,0,1,21,6,1
78,0.16,0.126,242.04,0.8,0,0,1,23,8,1
79,0.332,0.054,245.52,1.4,0,0,1,8,5,1
80,0.814,0.198,240.17,3.4,0,0,12,3,8,12
81,2.08,0.244,244.04,8.4,1,0,19,15,12,20
82,1.286,0.07,239.95,5.2,0,0,18,17,6,18
83,1.652,0.104,239.89,6.8,0,0,17,5,4,17
84,1.41,0.162,241.8,5.8,0,0,12,19,5,12
85,1.526,0.054,236.44,6.6,0,0,17,4,2,17
86,0.228,0.0,246.74,1.0,0,0,0,27,11,0
87,0.226,0.112,240.46,1.0,0,0,1,3,7,1
88,2.004,0.0,243.39,8.2,2,1,18,1,1,21
89,0.13,0.0,240.41,0.6,0,0,1,24,9,1
90,1.528,0.194,238.77,6.4,0,0,18,4,11,18
91,0.23,0.0,244.65,1.0,0,0,0,9,2,0
92,0.706,0.204,240.39,3.4,0,1,1,28,6,2
93,1.746,0.178,239.16,7.4,1,1,18,12,5,20
94,1.446,0.112,241.87,6.0,0,0,0,21,1,0
95,2.802,0.0,243.0,11.4,0,0,19,10,4,19
96,0.398,0.21,243.94,1.8,0,0,0,2,7,0
97,0.304,0.0,245.87,1.2,0,0,1,3,12,1
98,1.994,0.282,236.96,8.4,0,0,30,28,7,30
99,2.024,0.35,246.22,8.2,0,1,18,30,11,19
100,1.942,0.0,242.53,8.0,0,0,0,7,1,0
101,1.494,0.218,242.2,6.2,0,0,18,23,9,18
102,0.372,0.19,243.36,1.6,0,0,1,16,11,1
103,0.52,0.09,239.66,2.2,0,0,1,28,2,1
104,0.43,0.092,241.41,1.8,0,0,0,3,7,0
105,2.586,0.13,240.62,10.6,0,1,0,25,12,1
106,1.478,0.066,241.53,6.2,0,0,18,23,2,18
107,0.348,0.102,241.88,1.4,0,1,0,30,9,1
108,0.242,0.078,239.04,1.0,0,0,0,12,7,0
109,0.484,0.178,241.91,2.0,0,0,1,25,4,1
110,0.346,0.142,244.07,1.4,0,0,0,21,1,0
111,2.176,0.32,244.86,9.0,0,2,18,17,1,20
112,0.28,0.104,240.19,1.2,0,1,1,16,5,2
113,0.268,0.216,235.11,1.4,0,0,0,8,8,0
114,0.424,0.202,242.68,1.8,0,2,0,18,10,2
115,0.63,0.22,240.15,2.8,0,1,1,7,10,2
116,4.24,0.344,236.89,17.8,0,37,18,30,5,55
117,1.522,0.05,240.1,6.2,0,0,18,10,2,18
118,1.448,0.118,246.0,5.8,0,1,18,25,3,19
119,1.346,0.052,244.25,5.4,0,0,18,8,2,18
120,2.098,0.156,239.76,8.6,0,0,0,10,2,0
121,1.418,0.092,240.27,5.8,0,0,19,7,5,19
122,0.788,0.224,240.73,3.4,0,2,1,28,4,3
123,0.326,0.118,245.58,1.4,0,0,0,12,2,0
124,0.14,0.0,243.07,0.6,0,0,0,1,8,0
125,1.4,0.222,238.54,5.8,0,1,18,15,9,19
126,0.108,0.0,240.21,0.4,0,0,0,21,8,0
127,0.234,0.238,240.66,1.4,0,1,1,25,8,2
128,2.072,0.278,237.99,8.8,0,1,28,16,9,29
129,0.208,0.0,241.69,0.8,0,0,0,26,9,0
130,0.218,0.0,241.77,0.8,0,0,0,25,2,0
131,0.304,0.094,245.67,1.2,0,1,1,15,11,2
132,0.19,0.072,233.78,0.8,0,0,0,18,7,0
133,4.514,0.842,237.06,19.4,0,37,30,11,10,67
134,0.256,0.062,247.2,1.2,0,0,0,3,1,0
135,2.244,0.0,240.53,9.2,0,1,18,5,9,19
136,0.474,0.214,240.95,2.2,0,0,1,12,6,1
137,0.684,0.242,240.14,3.0,0,2,1,17,9,3
138,1.35,0.352,239.85,6.0,0,0,0,3,1,0
139,0.548,0.1,242.46,2.6,0,0,0,26,10,0
140,1.46,0.232,238.98,6.2,0,2,18,30,3,20
141,0.3,0.08,243.66,1.2,0,0,1,15,11,1
142,0.27,0.0,247.99,1.2,0,0,0,9,1,0
143,3.578,0.294,234.85,15.2,1,1,29,29,8,31
144,0.422,0.21,244.85,2.0,0,0,0,10,2,0
145,0.326,0.076,240.91,1.4,0,1,1,3,5,2
146,0.286,0.072,243.53,1.2,0,1,0,27,10,1
147,1.448,0.218,243.4,6.0,0,0,19,1,9,19
148,0.4,0.24,244.12,1.8,0,1,0,31,3,1
149,0.298,0.0,238.22,1.6,0,0,0,20,6,0
150,1.526,0.0,241.42,6.4,0,0,18,6,12,18
151,2.554,0.164,237.96,11.2,0,0,0,7,11,0
152,0.404,0.078,240.39,1.8,0,0,1,22,5,1
153,0.568,0.08,239.63,2.4,0,0,0,14,10,0
154,1.644,0.21,242.8,6.8,2,0,18,29,4,20
155,0.362,0.102,246.88,1.4,0,0,0,8,5,0
156,3.11,0.198,235.24,13.8,0,2,18,23,3,20
157,3.148,0.0,226.21,14.4,0,29,17,27,5,46
158,1.584,0.202,240.51,6.6,0,0,18,29,8,18
159,0.722,0.274,242.76,3.2,0,2,0,14,9,2
160,0.318,0.216,239.7,1.6,0,0,1,22,7,1
161,1.712,0.068,238.98,7.2,0,0,17,3,2,17
162,0.306,0.262,242.55,1.6,0,1,1,1,8,2
163,0.298,0.08,247.04,1.2,0,1,0,9,12,1
164,0.356,0.284,242.78,1.8,0,1,0,25,5,1
165,0.412,0.072,240.98,1.8,0,1,1,4,10,2
166,1.634,0.0,237.01,6.8,0,0,17,11,1,17
167,0.306,0.0,235.46,1.6,0,0,1,5,6,1
168,0.928,0.218,239.58,4.0,0,2,0,15,3,2
169,1.388,0.056,239.48,5.8,0,0,0,22,12,0
170,4.464,0.494,237.18,20.6,43,0,17,28,3,60
171,0.2,0.092,240.22,0.8,0,1,1,2,10,2
172,0.228,0.0,246.54,1.0,0,0,0,26,11,0
173,0.474,0.282,240.82,2.2,0,1,1,9,10,2
174,1.82,0.234,242.13,7.4,0,0,18,23,9,18
175,1.356,0.068,237.44,5.6,0,0,18,21,4,18
176,0.38,0.0,241.84,1.4,0,0,0,13,8,0
177,0.138,0.0,243.76,0.6,0,0,0,20,6,0
178,4.442,0.432,237.54,18.8,38,1,17,14,7,56
179,1.206,0.06,237.05,5.0,0,0,0,12,2,0
180,0.22,0.0,247.55,0.8,0,0,0,29,12,0
181,0.156,0.0,240.4,0.6,0,0,1,6,8,1
182,0.412,0.09,236.44,2.0,0,2,0,21,7,2
183,0.17,0.0,240.56,1.0,0,0,1,6,9,1
184,1.66,0.146,239.72,6.8,0,1,0,25,11,1
185,4.562,0.128,237.47,19.4,37,27,0,4,4,64
186,1.59,0.354,240.33,6.6,2,1,18,16,5,21
187,0.228,0.0,238.16,1.0,0,0,0,3,4,0
188,1.892,0.262,240.95,7.8,0,1,0,6,12,1
189,0.39,0.212,245.8,1.8,0,0,0,14,2,0
190,0.382,0.096,243.64,1.6,0,0,1,10,5,1
191,0.328,0.122,245.82,1.4,0,2,1,3,5,3
192,0.748,0.322,239.69,3.4,0,2,1,9,5,3
193,0.416,0.25,245.03,2.0,0,1,1,28,3,2
194,1.788,0.23,240.28,7.4,0,1,0,17,2,1
195,1.678,0.104,240.51,7.2,0,0,12,12,5,12
196,1.218,0.0,240.62,5.0,0,0,19,26,9,19
197,2.582,0.146,230.39,11.2,0,35,0,23,7,35
198,2.24,0.188,239.48,9.2,0,0,18,20,11,18
199,3.716,0.0,239.95,15.4,0,39,18,17,9,57
200,0.292,0.07,246.3,1.2,0,0,0,2,2,0
201,2.184,0.228,243.17,9.0,0,0,18,15,1,18
202,0.128,0.0,244.28,0.4,0,0,0,2,10,0
203,0.47,0.334,242.71,2.4,0,2,1,4,6,3
204,0.332,0.0,244.69,1.4,0,0,0,30,1,0
205,0.906,0.084,247.12,3.6,0,0,0,5,12,0
206,3.71,0.07,238.13,15.4,0,0,18,13,1,18
207,0.368,0.23,242.2,1.8,0,0,1,6,6,1
208,1.654,0.198,239.96,7.0,0,0,18,8,5,18
209,0.25,0.0,244.29,1.0,0,0,1,25,2,1
210,0.75,0.074,242.43,3.4,0,0,0,22,3,0
211,0.868,0.296,241.24,3.8,0,0,0,21,2,0
212,2.804,0.122,241.32,11.6,1,0,18,13,11,19
213,0.234,0.0,242.1,1.2,0,0,1,8,6,1
214,1.38,0.046,242.66,5.6,0,0,19,21,5,19
215,1.256,0.114,243.22,5.2,0,0,1,1,9,1
216,0.396,0.198,245.96,1.8,0,0,0,12,2,0
217,0.28,0.16,243.01,1.4,0,2,1,5,7,3
218,0.154,0.118,238.2,0.8,0,0,1,9,8,1
219,1.462,0.078,243.21,6.0,0,1,19,21,5,20
220,0.408,0.236,247.14,1.8,0,0,0,27,3,0
221,0.29,0.216,242.89,1.4,0,2,0,27,9,2
222,0.748,0.098,242.81,3.0,0,1,1,16,6,2
223,0.316,0.0,245.24,1.4,0,0,0,31,3,0
224,0.284,0.05,241.77,1.2,0,0,0,26,10,0
225,1.294,0.202,234.96,5.4,0,0,17,11,8,17
226,3.396,0.52,241.34,14.4,0,0,17,13,11,17
227,0.248,0.0,243.97,1.2,0,0,0,9,1,0
228,0.32,0.146,240.1,1.4,0,1,0,15,4,1
229,0.284,0.096,243.46,1.2,0,0,1,28,8,1
230,3.384,0.356,235.02,14.8,0,0,0,9,11,0
231,0.366,0.094,242.56,1.6,0,0,1,21,10,1
232,0.892,0.29,240.24,4.0,0,0,1,10,7,1
233,0.286,0.102,242.15,1.2,0,0,0,8,6,0
234,0.342,0.07,247.97,1.4,0,0,0,22,1,0
235,0.216,0.0,239.78,0.8,0,0,0,17,10,0
236,1.34,0.12,239.42,5.6,0,0,18,26,8,18
237,0.62,0.114,249.32,2.4,0,0,0,15,1,0
238,0.41,0.206,236.7,1.8,0,1,1,28,2,2
239,0.346,0.0,247.15,1.4,0,0,1,10,3,1
240,0.274,0.1,242.28,1.2,0,0,1,11,6,1
241,0.208,0.056,240.99,0.8,0,0,0,4,10,0
242,1.592,0.106,238.83,6.6,0,0,17,13,6,17
243,0.23,0.0,241.88,1.0,0,0,0,13,3,0
244,0.266,0.0,240.9,1.2,0,0,0,26,2,0
245,1.042,0.082,239.61,4.4,0,1,0,25,2,1
246,0.22,0.112,235.38,1.0,0,0,0,24,7,0
247,0.176,0.0,242.34,0.8,0,1,1,11,8,2
248,0.23,0.0,246.45,1.0,0,0,0,14,12,0
249,0.564,0.0,240.31,2.4,0,0,0,1,3,0
250,0.294,0.07,239.85,1.2,0,0,0,31,10,0
251,0.178,0.0,243.98,0.8,0,0,1,7,6,1
252,1.374,0.074,239.23,5.6,0,0,17,17,3,17
253,0.666,0.294,245.01,3.0,0,1,0,12,10,1
254,1.526,0.208,240.79,6.4,0,0,18,25,9,18
255,1.394,0.11,240.45,5.8,0,0,18,25,2,18
256,0.654,0.264,242.9,2.8,0,0,1,29,11,1
257,1.478,0.06,241.35,6.0,0,0,19,13,5,19
258,1.442,0.132,246.11,5.8,0,0,0,27,12,0
259,2.954,0.054,242.34,12.2,0,0,18,4,2,18
260,1.348,0.058,242.3,5.6,0,0,18,16,1,18
261,0.442,0.082,243.06,1.8,0,0,0,16,6,0
262,2.78,0.06,242.22,11.4,1,0,18,10,12,19
263,0.49,0.21,240.98,2.4,0,0,0,1,9,0
264,0.384,0.0,241.84,1.6,0,0,0,19,9,0
265,4.14,0.428,239.22,17.4,40,0,18,23,10,58
266,1.896,0.0,239.64,7.8,0,0,18,31,3,18
267,3.322,0.234,239.3,13.8,0,1,18,1,9,19
268,0.22,0.052,242.48,1.0,0,0,0,10,2,0
269,0.332,0.272,243.57,1.6,0,1,0,27,7,1
270,1.618,0.258,248.42,6.6,0,1,19,4,12,20
271,3.634,0.062,238.3,15.2,38,0,17,1,4,55
272,3.92,0.288,237.8,16.4,0,1,18,23,9,19
273,0.292,0.226,235.89,1.6,0,1,0,6,5,1
274,0.288,0.0,244.23,1.4,0,0,0,14,11,0
275,0.268,0.058,247.79,1.2,0,0,0,8,1,0
276,0.212,0.11,242.41,1.0,0,0,0,19,9,0
277,0.308,0.074,236.43,1.2,0,0,0,22,5,0
278,2.204,0.086,236.35,9.2,0,0,17,20,3,17
279,1.666,0.322,240.7,7.0,0,2,18,30,5,20
280,0.214,0.0,244.79,0.8,0,0,0,30,12,0
281,1.126,0.206,241.52,4.6,0,2,0,17,6,2
282,0.532,0.046,230.55,2.2,0,0,0,27,5,0
283,0.362,0.112,240.13,1.6,0,0,0,10,11,0
284,0.426,0.18,239.16,2.0,0,0,1,10,7,1
285,0.43,0.19,242.65,1.8,0,0,0,7,1,0
286,0.39,0.224,240.33,1.8,0,1,0,1,2,1
287,0.35,0.1,242.01,1.6,0,0,0,25,12,0
288,0.224,0.0,245.05,1.0,0,0,0,26,2,0
289,2.302,0.056,241.45,9.4,0,0,0,25,3,0
290,1.308,0.0,241.13,5.4,0,1,18,3,4,19
291,1.414,0.168,238.43,6.0,0,0,18,17,8,18
292,0.4,0.196,237.58,1.8,0,0,0,23,2,0
293,0.162,0.062,242.23,0.8,0,0,1,7,9,1
294,0.22,0.0,241.54,1.0,0,0,0,10,4,0
295,0.302,0.064,241.18,1.2,0,0,1,25,5,1
296,1.638,0.088,237.34,6.8,0,0,17,5,10,17
297,2.014,0.058,242.28,8.4,0,0,18,21,12,18
298,3.86,0.168,238.04,16.2,37,1,1,10,6,39
299,0.232,0.114,239.93,1.0,0,2,0,18,5,2
300,5.298,0.302,238.11,22.2,1,57,18,14,1,76
301,0.362,0.178,243.43,1.6,0,1,0,28,10,1
302,1.24,0.184,240.04,5.2,0,0,13,16,8,13
303,1.794,0.224,242.39,7.4,0,0,0,22,1,0
304,0.214,0.0,240.24,0.8,0,0,0,26,2,0
305,1.006,0.31,238.21,4.4,0,1,13,2,8,14
306,0.322,0.07,241.88,1.4,1,2,1,4,9,4
307,1.468,0.194,241.99,6.0,0,0,18,11,3,18
308,1.682,0.11,241.15,7.0,0,0,18,19,11,18
309,1.014,0.246,240.98,4.2,0,2,0,14,9,2
310,0.296,0.07,238.13,1.2,0,0,0,26,5,0
311,0.314,0.098,237.25,1.4,0,0,0,24,2,0
312,2.55,0.44,238.78,10.8,0,1,29,23,10,30
313,1.328,0.078,238.68,5.6,0,0,18,16,8,18
314,1.398,0.074,241.62,5.8,0,0,18,16,10,18
315,1.964,0.078,241.38,8.2,0,0,18,25,1,18
316,0.252,0.0,241.37,1.0,0,0,1,8,4,1
317,1.68,0.128,234.15,7.2,0,1,18,22,5,19
318,0.208,0.05,243.77,0.8,0,0,0,27,10,0
319,0.996,0.424,243.27,4.4,0,1,13,28,9,14
320,0.302,0.068,243.59,1.2,0,0,0,23,2,0
321,0.748,0.244,240.67,3.2,0,4,0,10,3,4
322,0.288,0.128,243.94,1.2,0,0,0,31,12,0
323,1.542,0.078,242.18,6.4,0,0,19,26,4,19
324,0.258,0.0,243.95,1.0,0,0,1,17,4,1
325,0.364,0.198,235.33,1.6,0,1,1,2,6,2
326,0.33,0.076,243.01,1.4,0,0,1,16,10,1
327,0.334,0.126,241.73,1.4,0,0,0,29,3,0
328,1.792,0.168,240.65,7.4,0,0,0,30,1,0
329,1.454,0.104,239.38,6.0,0,0,17,13,11,17
330,1.622,0.212,240.92,6.8,0,1,18,20,4,19
331,0.958,0.0,238.78,4.0,0,0,0,6,12,0
332,0.268,0.218,240.7,1.4,0,1,0,4,9,1
333,2.562,0.15,241.99,10.6,0,2,0,28,1,2
334,0.348,0.11,241.8,1.6,0,0,0,8,6,0
335,0.268,0.0,243.01,1.2,0,0,0,8,11,0
336,1.37,0.058,242.3,5.6,0,2,18,28,10,20
337,0.324,0.146,241.97,1.4,0,0,0,1,3,0
338,0.308,0.21,237.83,1.4,0,0,1,19,6,1
339,0.324,0.256,242.14,1.6,0,1,0,22,7,1
340,0.302,0.094,247.56,1.2,0,0,0,25,11,0
341,0.236,0.118,241.53,1.2,0,1,0,11,6,1
342,0.266,0.106,239.51,1.2,0,0,1,5,7,1
343,0.386,0.046,237.82,1.6,1,0,0,27,6,1
344,1.428,0.17,237.55,6.0,0,0,18,15,6,18
345,0.162,0.13,244.34,0.8,0,0,0,30,8,0
346,0.308,0.156,242.34,1.8,0,0,2,13,7,2
347,0.306,0.122,244.24,1.4,0,1,0,29,3,1
348,0.306,0.08,241.7,1.4,0,0,0,24,10,0
349,0.226,0.116,244.02,1.0,0,0,0,1,10,0
350,0.318,0.12,251.43,1.4,0,0,0,20,12,0
351,0.348,0.224,242.7,1.6,0,1,1,15,9,2
352,0.364,0.18,248.83,1.6,0,0,0,9,11,0
353,0.688,0.322,246.06,3.0,0,3,0,4,2,3
354,0.282,0.116,241.44,1.2,0,0,1,17,9,1
355,1.262,0.0,238.2,5.2,0,0,0,18,11,0
356,0.11,0.0,241.54,0.6,0,0,0,20,9,0
357,0.476,0.174,244.0,2.0,0,0,1,21,9,1
358,0.626,0.374,241.33,3.0,0,2,0,5,4,2
359,0.28,0.114,242.78,1.2,0,0,1,12,6,1
360,1.462,0.098,237.71,6.2,0,1,18,22,5,19
361,0.22,0.0,243.97,0.8,0,0,0,25,2,0
362,0.286,0.0,240.84,1.2,0,0,0,4,10,0
363,0.308,0.046,241.89,1.4,0,0,1,12,4,1
364,1.636,0.208,235.02,7.0,0,2,17,2,4,19
365,0.908,0.264,239.51,4.0,0,1,1,2,7,2
366,1.814,0.0,238.21,7.6,0,0,17,7,12,17
367,0.306,0.0,243.47,1.4,0,0,1,28,4,1
368,1.032,0.454,241.19,4.6,0,2,13,17,7,15
369,0.36,0.066,242.92,1.6,0,0,0,15,11,0
370,0.38,0.192,239.8,1.8,0,0,0,13,3,0
371,1.574,0.056,240.11,6.6,0,0,18,2,2,18
372,1.568,0.078,239.36,6.6,0,0,18,8,11,18
373,0.318,0.116,243.68,1.4,0,2,1,31,3,3
374,0.56,0.0,241.61,2.2,0,0,0,1,1,0
375,1.63,0.0,243.9,6.6,0,0,19,23,9,19
376,3.566,0.0,229.33,15.4,35,0,16,23,5,51
377,1.666,0.312,239.15,7.0,0,2,19,2,5,21
378,0.3,0.146,246.95,1.4,0,1,0,25,1,1
379,0.316,0.0,247.13,1.2,0,0,1,10,2,1
380,1.212,0.0,237.55,5.0,2,0,18,20,6,20
381,1.532,0.07,238.08,6.4,0,0,17,11,12,17
382,0.384,0.22,242.21,1.8,0,2,0,22,3,2
383,1.474,0.086,236.53,6.2,0,0,18,5,9,18
384,0.3,0.13,242.68,1.6,0,1,1,6,9,2
385,1.332,0.0,238.51,5.6,0,0,17,9,2,17
386,0.386,0.136,245.17,2.2,0,0,4,12,7,4
387,1.504,0.086,242.64,6.2,0,0,18,15,1,18
388,2.888,0.106,241.93,12.2,0,25,19,19,4,44
389,0.542,0.0,240.62,2.4,0,0,1,12,5,1
390,1.236,0.0,242.16,5.0,0,0,19,14,8,19
391,1.398,0.102,241.52,5.8,0,0,18,18,2,18
392,0.356,0.21,236.17,1.6,0,0,0,27,4,0
393,2.342,0.328,238.64,10.0,0,0,18,18,1,18
394,0.204,0.0,248.23,0.8,0,0,0,24,12,0
395,5.86,0.0,232.05,25.2,36,37,17,15,10,90
396,0.804,0.27,243.83,3.4,0,2,0,26,3,2
397,2.64,0.0,241.46,11.0,0,0,18,26,12,18
398,1.688,0.236,239.44,7.0,0,4,18,28,9,22
399,2.266,0.082,240.38,9.4,0,0,18,16,5,18
400,2.836,0.0,230.06,12.2,0,0,16,5,11,16
401,0.406,0.138,241.64,1.8,0,0,0,24,4,0
402,0.21,0.0,245.98,0.8,0,0,0,20,12,0
403,0.318,0.226,238.33,1.6,0,1,1,27,7,2
404,1.296,0.09,240.9,5.4,0,2,18,17,7,20
405,0.24,0.096,241.35,1.0,0,1,1,16,7,2
406,0.722,0.138,238.28,3.0,0,0,0,21,3,0
407,0.35,0.114,245.1,1.6,0,0,0,13,3,0
408,0.27,0.104,238.92,1.2,0,0,0,18,6,0
409,0.964,0.154,238.99,4.0,1,1,0,16,6,2
410,2.676,0.048,243.47,11.8,16,2,18,14,3,36
411,0.336,0.202,241.35,1.6,0,1,1,11,9,2
412,0.318,0.114,245.57,1.4,0,0,0,6,3,0
413,1.516,0.218,238.59,6.4,0,0,18,13,9,18
414,0.144,0.0,242.87,0.6,0,0,0,22,4,0
415,1.442,0.084,239.91,6.0,0,0,17,10,12,17
416,3.014,0.082,235.65,12.8,0,1,0,6,5,1
417,0.958,0.466,250.02,4.2,0,1,1,17,2,2
418,1.612,0.19,237.0,6.8,0,0,17,16,9,17
419,1.54,0.194,246.48,6.2,0,2,19,4,2,21
420,3.47,0.25,239.85,14.6,1,11,17,11,2,29
421,1.184,0.0,236.26,5.0,0,0,18,19,5,18
422,1.464,0.208,243.66,6.0,0,0,0,6,3,0
423,0.664,0.32,241.34,3.0,0,1,1,28,2,2
424,0.078,0.0,238.46,0.2,0,0,0,7,8,0
425,0.976,0.334,242.21,4.2,0,1,0,27,4,1
426,0.428,0.228,244.2,2.0,0,1,1,12,10,2
427,3.732,0.326,231.96,16.2,0,34,0,20,5,34
428,1.44,0.05,238.61,6.0,0,0,17,4,2,17
429,0.416,0.068,241.87,2.0,0,0,0,23,1,0
430,0.344,0.17,241.13,1.6,0,0,1,6,9,1
431,2.172,0.26,242.53,9.2,0,0,1,8,9,1
432,1.814,0.092,240.45,7.4,0,0,18,30,6,18
433,0.26,0.048,242.26,1.2,0,0,0,8,1,0
434,0.254,0.0,240.42,1.0,0,0,0,7,5,0
435,1.69,0.08,243.63,6.8,0,0,18,27,12,18
436,1.376,0.054,240.37,5.6,0,0,18,18,5,18
437,0.554,0.152,241.63,2.4,0,1,1,14,3,2
438,1.326,0.0,239.54,5.4,0,0,18,11,5,18
439,0.946,0.35,239.06,4.4,0,2,0,6,11,2
440,0.254,0.058,239.53,1.2,0,0,0,6,11,0
441,0.174,0.0,241.5,0.8,0,0,0,26,7,0
442,2.404,0.256,240.88,10.0,0,0,18,7,2,18
443,0.246,0.11,242.15,1.0,0,1,1,31,5,2
444,1.598,0.206,238.25,6.8,0,1,17,29,6,18
445,1.45,0.0,242.3,6.0,0,0,19,11,1,19
446,1.942,0.224,241.77,8.0,0,0,0,12,1,0
447,0.308,0.242,243.87,1.6,0,0,1,23,7,1
448,0.31,0.094,242.93,1.4,0,2,0,13,3,2
449,0.744,0.224,240.64,3.2,0,0,0,9,4,0
450,0.26,0.0,240.67,1.0,0,0,0,11,5,0
451,1.378,0.114,241.8,5.6,0,0,19,7,6,19
452,1.458,0.096,243.49,6.0,0,0,19,2,4,19
453,1.352,0.048,239.36,5.6,0,0,18,19,10,18
454,0.438,0.318,242.0,2.2,0,1,0,14,9,1
455,1.56,0.28,239.47,6.6,0,1,18,18,4,19
456,0.324,0.124,241.87,1.4,0,0,0,21,5,0
457,1.298,0.146,240.8,5.4,0,1,0,3,9,1
458,4.014,0.296,237.07,17.0,38,0,17,22,4,55
459,1.55,0.0,250.61,6.2,0,0,20,29,1,20
460,0.402,0.224,242.49,1.8,0,1,1,10,6,2
461,0.696,0.062,244.26,2.8,0,0,0,29,10,0
