Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2/10/2009,05:31:00,0.200,0.092,240.220,0.800,0.000,1.000,1.0
26/11/2007,23:46:00,0.228,0.000,246.540,1.000,0.000,0.000,0.0
9/10/2010,06:23:00,0.474,0.282,240.820,2.200,0.000,1.000,1.0
23/9/2007,22:27:00,1.820,0.234,242.130,7.400,0.000,0.000,18.0
21/4/2008,08:52:00,1.356,0.068,237.440,5.600,0.000,0.000,18.0
13/8/2008,20:09:00,0.380,0.000,241.840,1.400,0.000,0.000,0.0
20/6/2008,15:35:00,0.138,0.000,243.760,0.600,0.000,0.000,0.0
14/7/2007,19:20:00,4.442,0.432,237.540,18.800,38.000,1.000,17.0
12/2/2007,18:11:00,1.206,0.060,237.050,5.000,0.000,0.000,0.0
29/12/2008,02:22:00,0.220,0.000,247.550,0.800,0.000,0.000,0.0
13/1/2010,19:57:00,?,?,?,?,?,?,
6/8/2010,14:10:00,0.156,0.000,240.400,0.600,0.000,0.000,1.0
21/7/2008,11:22:00,0.412,0.090,236.440,2.000,0.000,2.000,0.0
6/9/2008,02:14:00,0.170,0.000,240.560,1.000,0.000,0.000,1.0
25/11/2008,21:25:00,1.660,0.146,239.720,6.800,0.000,1.000,0.0
4/4/2009,15:12:00,4.562,0.128,237.470,19.400,37.000,27.000,0.0
16/5/2008,13:43:00,1.590,0.354,240.330,6.600,2.000,1.000,18.0
14/6/2009,05:58:00,?,?,?,?,?,?,
3/4/2008,01:18:00,0.228,0.000,238.160,1.000,0.000,0.000,0.0
6/12/2008,20:45:00,1.892,0.262,240.950,7.800,0.000,1.000,0.0
14/2/2009,03:34:00,0.390,0.212,245.800,1.800,0.000,0.000,0.0
10/5/2009,05:05:00,0.382,0.096,243.640,1.600,0.000,0.000,1.0
3/5/2009,02:18:00,0.328,0.122,245.820,1.400,0.000,2.000,1.0
9/5/2008,08:15:00,0.748,0.322,239.690,3.400,0.000,2.000,1.0
28/3/2010,04:47:00,0.416,0.250,245.030,2.000,0.000,1.000,1.0
5/11/2010,17:56:00,0.934,0.0,239.75,3.8,0.0,0.0,1.0
17/2/2007,20:51:00,1.788,0.230,240.280,7.400,0.000,1.000,0.0
12/5/2008,20:24:00,1.678,0.104,240.510,7.200,0.000,0.000,12.0
26/9/2008,23:11:00,1.218,0.000,240.620,5.000,0.000,0.000,19.0
23/7/2007,09:13:00,2.582,0.146,230.390,11.200,0.000,35.000,0.0
20/11/2009,08:48:00,2.240,0.188,239.480,9.200,0.000,0.000,18.0
17/9/2010,14:59:00,3.716,0.000,239.950,15.400,0.000,39.000,18.0
2/2/2009,00:47:00,0.292,0.070,246.300,1.200,0.000,0.000,0.0
15/1/2010,17:13:00,2.184,0.228,243.170,9.000,0.000,0.000,18.0
2/10/2009,01:51:00,0.128,0.000,244.280,0.400,0.000,0.000,0.0
4/6/2010,20:44:00,0.470,0.334,242.710,2.400,0.000,2.000,1.0
30/1/2008,16:42:00,0.332,0.000,244.690,1.400,0.000,0.000,0.0
5/12/2008,15:30:00,0.906,0.084,247.120,3.600,0.000,0.000,0.0
13/1/2008,01:36:00,3.710,0.070,238.130,15.400,0.000,0.000,18.0
6/6/2009,06:26:00,0.368,0.230,242.200,1.800,0.000,0.000,1.0
8/5/2008,13:59:00,1.654,0.198,239.960,7.000,0.000,0.000,18.0
22/11/2010,01:56:00,0.322,0.094,244.26,1.4,0.0,0.0,0.0
25/2/2010,04:42:00,0.250,0.000,244.290,1.000,0.000,0.000,1.0
22/3/2007,06:38:00,0.750,0.074,242.430,3.400,0.000,0.000,0.0
21/2/2009,11:20:00,0.868,0.296,241.240,3.800,0.000,0.000,0.0
13/11/2007,07:45:00,2.804,0.122,241.320,11.600,1.000,0.000,18.0
8/6/2010,18:42:00,0.234,0.000,242.100,1.200,0.000,0.000,1.0
21/5/2010,10:16:00,1.380,0.046,242.660,5.600,0.000,0.000,19.0
1/9/2009,22:20:00,1.256,0.114,243.220,5.200,0.000,0.000,1.0
12/2/2009,23:51:00,0.396,0.198,245.960,1.800,0.000,0.000,0.0
5/7/2009,06:13:00,0.280,0.160,243.010,1.400,0.000,2.000,1.0
9/8/2008,01:06:00,0.154,0.118,238.200,0.800,0.000,0.000,1.0
21/5/2010,11:00:00,1.462,0.078,243.210,6.000,0.000,1.000,19.0
27/3/2008,23:37:00,0.408,0.236,247.140,1.800,0.000,0.000,0.0
27/9/2009,05:22:00,0.290,0.216,242.890,1.400,0.000,2.000,0.0
16/6/2010,01:19:00,0.748,0.098,242.810,3.000,0.000,1.000,1.0
31/3/2007,00:43:00,0.316,0.000,245.240,1.400,0.000,0.000,0.0
26/10/2008,03:44:00,0.284,0.050,241.770,1.200,0.000,0.000,0.0
11/8/2007,16:48:00,1.294,0.202,234.960,5.400,0.000,0.000,17.0
13/11/2008,07:47:00,3.396,0.520,241.340,14.400,0.000,0.000,17.0
9/1/2008,03:25:00,0.248,0.000,243.970,1.200,0.000,0.000,0.0
15/4/2007,05:35:00,0.320,0.146,240.100,1.400,0.000,1.000,0.0
28/8/2010,23:56:00,0.284,0.096,243.460,1.200,0.000,0.000,1.0
9/11/2009,19:11:00,3.384,0.356,235.020,14.800,0.000,0.000,0.0
21/10/2010,10:03:00,0.366,0.094,242.560,1.600,0.000,0.000,1.0
10/7/2008,18:47:00,0.892,0.290,240.240,4.000,0.000,0.000,1.0
8/6/2010,00:14:00,0.286,0.102,242.150,1.200,0.000,0.000,0.0
22/1/2009,15:30:00,0.342,0.070,247.970,1.400,0.000,0.000,0.0
17/10/2007,17:04:00,0.216,0.000,239.780,0.800,0.000,0.000,0.0
26/8/2007,01:21:00,1.340,0.120,239.420,5.600,0.000,0.000,18.0
15/1/2010,16:30:00,0.620,0.114,249.320,2.400,0.000,0.000,0.0
28/2/2010,18:32:00,0.410,0.206,236.700,1.800,0.000,1.000,1.0
10/3/2010,06:41:00,0.346,0.000,247.150,1.400,0.000,0.000,1.0
11/6/2010,05:37:00,0.274,0.100,242.280,1.200,0.000,0.000,1.0
4/10/2007,17:25:00,0.208,0.056,240.990,0.800,0.000,0.000,0.0
13/6/2007,07:18:00,1.592,0.106,238.830,6.600,0.000,0.000,17.0
13/3/2007,13:48:00,0.230,0.000,241.880,1.000,0.000,0.000,0.0
26/2/2008,23:24:00,0.266,0.000,240.900,1.200,0.000,0.000,0.0
25/2/2008,17:29:00,1.042,0.082,239.610,4.400,0.000,1.000,0.0
24/7/2007,13:08:00,0.220,0.112,235.380,1.000,0.000,0.000,0.0
13/8/2009,19:33:00,?,?,?,?,?,?,
11/8/2009,04:25:00,0.176,0.000,242.340,0.800,0.000,1.000,1.0
13/6/2009,14:47:00,?,?,?,?,?,?,
14/12/2007,03:04:00,0.230,0.000,246.450,1.000,0.000,0.000,0.0
1/3/2008,05:57:00,0.564,0.000,240.310,2.400,0.000,0.000,0.0
31/10/2009,04:36:00,0.294,0.070,239.850,1.200,0.000,0.000,0.0
7/6/2010,14:20:00,0.178,0.000,243.980,0.800,0.000,0.000,1.0
17/3/2007,07:10:00,1.374,0.074,239.230,5.600,0.000,0.000,17.0
12/10/2008,12:04:00,0.666,0.294,245.010,3.000,0.000,1.000,0.0
25/9/2009,12:19:00,1.526,0.208,240.790,6.400,0.000,0.000,18.0
25/2/2007,03:39:00,1.394,0.110,240.450,5.800,0.000,0.000,18.0
29/11/2009,10:31:00,0.654,0.264,242.900,2.800,0.000,0.000,1.0
13/5/2009,07:59:00,1.478,0.060,241.350,6.000,0.000,0.000,19.0
27/12/2008,16:28:00,1.442,0.132,246.110,5.800,0.000,0.000,0.0
4/2/2010,08:32:00,2.954,0.054,242.340,12.200,0.000,0.000,18.0
16/1/2009,09:20:00,1.348,0.058,242.300,5.600,0.000,0.000,18.0
16/6/2010,15:19:00,0.442,0.082,243.060,1.800,0.000,0.000,0.0
10/12/2008,08:21:00,2.780,0.060,242.220,11.400,1.000,0.000,18.0
1/9/2008,14:33:00,0.490,0.210,240.980,2.400,0.000,0.000,0.0
19/9/2010,00:28:00,0.384,0.000,241.840,1.600,0.000,0.000,0.0
23/10/2009,15:09:00,4.140,0.428,239.220,17.400,40.000,0.000,18.0
31/3/2009,07:22:00,1.896,0.000,239.640,7.800,0.000,0.000,18.0
1/9/2007,22:58:00,3.322,0.234,239.300,13.800,0.000,1.000,18.0
10/2/2008,05:32:00,0.220,0.052,242.480,1.000,0.000,0.000,0.0
27/7/2009,20:01:00,0.332,0.272,243.570,1.600,0.000,1.000,0.0
4/12/2009,15:22:00,1.618,0.258,248.420,6.600,0.000,1.000,19.0
1/4/2007,01:35:00,3.634,0.062,238.300,15.200,38.000,0.000,17.0
23/9/2010,07:43:00,3.920,0.288,237.800,16.400,0.000,1.000,18.0
6/5/2007,04:23:00,0.292,0.226,235.890,1.600,0.000,1.000,0.0
14/11/2007,02:21:00,0.288,0.000,244.230,1.400,0.000,0.000,0.0
8/1/2009,00:47:00,0.268,0.058,247.790,1.200,0.000,0.000,0.0
19/9/2007,03:04:00,0.212,0.110,242.410,1.000,0.000,0.000,0.0
22/5/2007,14:52:00,0.308,0.074,236.430,1.200,0.000,0.000,0.0
20/3/2007,08:10:00,2.204,0.086,236.350,9.200,0.000,0.000,17.0
30/5/2009,19:20:00,1.666,0.322,240.700,7.000,0.000,2.000,18.0
30/12/2008,08:20:00,0.214,0.000,244.790,0.800,0.000,0.000,0.0
17/6/2007,00:30:00,1.126,0.206,241.520,4.600,0.000,2.000,0.0
27/5/2009,15:22:00,0.532,0.046,230.550,2.200,0.000,0.000,0.0
10/11/2007,02:56:00,0.362,0.112,240.130,1.600,0.000,0.000,0.0
10/7/2010,00:18:00,0.426,0.180,239.160,2.000,0.000,0.000,1.0
7/1/2008,04:01:00,0.430,0.190,242.650,1.800,0.000,0.000,0.0
1/2/2007,14:13:00,0.390,0.224,240.330,1.800,0.000,1.000,0.0
25/12/2008,13:17:00,0.350,0.100,242.010,1.600,0.000,0.000,0.0
26/2/2009,04:05:00,0.224,0.000,245.050,1.000,0.000,0.000,0.0
25/3/2007,05:31:00,2.302,0.056,241.450,9.400,0.000,0.000,0.0
3/4/2008,03:16:00,1.308,0.000,241.130,5.400,0.000,1.000,18.0
17/8/2009,08:16:00,1.414,0.168,238.430,6.000,0.000,0.000,18.0
23/2/2007,19:32:00,0.400,0.196,237.580,1.800,0.000,0.000,0.0
7/9/2010,05:33:00,0.162,0.062,242.230,0.800,0.000,0.000,1.0
10/4/2007,05:02:00,0.220,0.000,241.540,1.000,0.000,0.000,0.0
25/5/2009,05:01:00,0.302,0.064,241.180,1.200,0.000,0.000,1.0
5/10/2010,09:15:00,1.638,0.088,237.340,6.800,0.000,0.000,17.0
21/12/2008,16:25:00,2.014,0.058,242.280,8.400,0.000,0.000,18.0
10/6/2009,21:28:00,3.860,0.168,238.040,16.200,37.000,1.000,1.0
18/5/2008,07:51:00,0.232,0.114,239.930,1.000,0.000,2.000,0.0
14/1/2007,16:08:00,5.298,0.302,238.110,22.200,1.000,57.000,18.0
28/10/2008,01:35:00,0.362,0.178,243.430,1.600,0.000,1.000,0.0
16/8/2009,21:52:00,1.240,0.184,240.040,5.200,0.000,0.000,13.0
22/1/2007,21:44:00,1.794,0.224,242.390,7.400,0.000,0.000,0.0
26/2/2007,07:01:00,0.214,0.000,240.240,0.800,0.000,0.000,0.0
2/8/2008,03:49:00,1.006,0.310,238.210,4.400,0.000,1.000,13.0
4/9/2010,16:24:00,0.322,0.070,241.880,1.400,1.000,2.000,1.0
11/3/2009,13:35:00,1.468,0.194,241.990,6.000,0.000,0.000,18.0
19/11/2007,07:19:00,1.682,0.110,241.150,7.000,0.000,0.000,18.0
14/9/2007,22:47:00,1.014,0.246,240.980,4.200,0.000,2.000,0.0
26/5/2007,00:57:00,0.296,0.070,238.130,1.200,0.000,0.000,0.0
24/2/2008,19:43:00,0.314,0.098,237.250,1.400,0.000,0.000,0.0
23/10/2009,17:44:00,2.550,0.440,238.780,10.800,0.000,1.000,29.0
16/8/2010,09:30:00,1.328,0.078,238.680,5.600,0.000,0.000,18.0
16/10/2009,09:45:00,1.398,0.074,241.620,5.800,0.000,0.000,18.0
25/1/2007,20:31:00,1.964,0.078,241.380,8.200,0.000,0.000,18.0
8/4/2010,05:41:00,0.252,0.000,241.370,1.000,0.000,0.000,1.0
22/5/2007,09:49:00,1.680,0.128,234.150,7.200,0.000,1.000,18.0
27/10/2008,20:36:00,0.208,0.050,243.770,0.800,0.000,0.000,0.0
28/9/2009,12:26:00,0.996,0.424,243.270,4.400,0.000,1.000,13.0
23/2/2008,03:34:00,0.302,0.068,243.590,1.200,0.000,0.000,0.0
10/3/2007,16:35:00,0.748,0.244,240.670,3.200,0.000,4.000,0.0
31/12/2006,01:46:00,0.288,0.128,243.940,1.200,0.000,0.000,0.0
26/4/2009,14:23:00,1.542,0.078,242.180,6.400,0.000,0.000,19.0
17/4/2008,02:26:00,0.258,0.000,243.950,1.000,0.000,0.000,1.0
